Product/Service,Global,HCM (1A),HCM (1B),HCM (1C),HCM (BKK),HAN
,,HCM-1A,HCM-1B,HCM-1C,BKK-1A,HAN-1A
Server,,https://hcm-3.console.greennode.ai/vserver/v-server/cloud-server,x,x,x,https://han-1.console.greennode.ai/vserver/v-server/cloud-server
Volume,,https://hcm-3.console.greennode.ai/vserver/block-store/volumes,x,x,x,https://han-1.console.greennode.ai/vserver/block-store/volumes
vLB,,https://hcm-3.console.greennode.ai/vserver/load-balancer/vlb,x,x,x,https://han-1.console.greennode.ai/vserver/load-balancer/vlb
GLB,https://glb.console.greennode.ai/overview,,x,No,No,
Bandwidth,,https://hcm-3.console.greennode.ai/vserver/network/bandwidth/list,x,x,,https://han-1.console.greennode.ai/vserver/network/bandwidth/list
vDB Relational,,https://vdb.console.greennode.ai/relational/database,x,x,,No
vDB MemoryStore,,https://vdb.console.greennode.ai/memorystore/database,x,x,,No
vDB Kafka,,https://vdb.console.greennode.ai/kafka/cluster,No,No,No,No
vDB OpenSearch,,x,No,No,No,No
Image,,https://hcm-3.console.greennode.ai/vserver/block-store/images,x,x,x,https://han-1.console.greennode.ai/vserver/block-store/images
Network Interface,,https://hcm-3.console.greennode.ai/vserver/network/external-interface/external-interface-group,x,x,x,https://han-1.console.greennode.ai/vserver/network/external-interface/external-interface-group
vMarketplace,,https://marketplace.console.greennode.ai/overview,x,x,No,https://marketplace-han-1.console.greennode.ai/overview
Container Registry,,https://vcr.console.greennode.ai/repository/list,x,x,No,https://han-1.console.greennode.ai/vcr
VKS,,https://vks.console.greennode.ai/overview,x,x,x,https://vks-han-1.console.greennode.ai/overview
"vNetwork (Endpoint, NAT, VPN, Cross Connect)",,https://hcm-3-vnetwork.console.greennode.ai/overview,x,x,No,https://han-1-vnetwork.console.greennode.ai/
"VPC, DHCP, VIP, Peering",,https://hcm-3.console.greennode.ai/vserver/network/vpc,x,x,x,
Global View,https://regionview.console.greennode.ai/resource-region,,x,x,x,
vDNS,https://vdns.console.greennode.ai/hosted-zones,,x,x,,No
Backup Center,,,x,x,No,
Snapshot,,x,x,x,No,x
Server Migration,,https://backupcenter.console.greennode.ai/server-migration,x,x,x,https://backupcenter.console.greennode.ai/server-migration
DR,https://backupcenter.console.greennode.ai/protected-server/list,x,x,x,No,
Backup,,https://backupcenter.console.greennode.ai/backup-server/list,x,x,No,https://backupcenter.console.greennode.ai/backup-server/list
vStorage,,,,,,
Storage,,https://vstorage.console.greennode.ai/storage/list,,,,https://vstorage.console.greennode.ai/storage/list
Data Sync,https://datasync.console.greennode.ai/overview,,,,,
File Storage,,https://efs.console.greennode.ai/overview,x,x,,
vMonitor,,,,,,
Notification,https://vmonitor.console.greennode.ai/notification,,,,,
vMonitor Platform Metric,https://vmonitor.console.greennode.ai/quota-usages/metric,,,,,
vMonitor Platform Log,https://vmonitor.console.greennode.ai/log/project,,,,,
Synthetic Test,https://vmonitor.console.greennode.ai/synthetic-test/api-test,,,,,
IAM,https://iam.console.greennode.ai/,,,,,
KMS,,No,No,No,No,https://han-1-kms.console.greennode.ai/
vCDN,,,,,,
Web Accelerator,https://vcdn.vngcloud.vn/webacc/list.html,,,,,
Object Download,https://vcdn.vngcloud.vn/obj-download/list.html,,,,,
Video On Demand,https://vcdn.vngcloud.vn/vod/list.html,,,,,
Live Streaming,https://vcdn.vngcloud.vn/live-cdn/list.html,,,,,
vColo,https://vcolo.console.greennode.ai/overview,,,,,
AI Speech-Text,,,,,,
Text to speech,https://ai-speech-text.console.greennode.ai/tts,,,,,
Speech to text,https://ai-speech-text.console.greennode.ai/stt,,,,,
AI Platform,,x,Coming Soon,Coming Soon,No,No
